"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","Bootstrap 2.2uF 50V","","","","","~"
"D1,D2","2","Bootstrap UF4007","","","","","~"
"J1","1","Screw_Terminal_01x08","","","","","~"
"M1","1","Motor_DC","","","","","~"
"Q1,Q2,Q3,Q4,Q5,Q6,Q11,Q12","8","IRFB4110PBF NMOS","","","","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irfb4310zpbf.pdf?fileId=5546d462533600a4015356161b4d1e2d"
"R1,R2,R5,R6,R9,R10,R13,R14","8","22","","","","","~"
"R3,R7","2","3mR","","","","","~"
"R4,R11","2","2k","","","","","~"
"R8,R12","2","18k","","","","","~"
"R15,R16","2","100","","","","","~"
"U1,U3","2","LM358","","","","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U2,U5","2","IR2110","","","","Package_DIP:DIP-14_W7.62mm","https://www.infineon.com/dgdl/ir2110.pdf?fileId=5546d462533600a4015355c80333167e"
